Project_ID,Project_Type,Location,Area_Impacted,Air_Emissions,Water_Pollution,Habitat_Loss,Carbon_Footprint,Mitigation_Plan,Impact_Score,Budget,Duration,Stakeholders,Public_Acceptance,Sustainability_Practices
Project_65003,Construction,City_A,59.76,947.08,81.07,9.96,8851.23,Planned,26.82,4297174,56,"['Government', 'Local Community', 'Government']",High,"['Green Infrastructure', 'Green Infrastructure']"
Project_71502,Construction,City_A,51.09,504.75,66.14,8.19,8827.55,Planned,93.53,1646897,16,"['Local Community', 'Local Community', 'Government']",Medium,"['Energy Efficiency', 'Green Infrastructure']"
Project_71403,Construction,City_D,67.99,955.73,54.58,5.72,8044.85,Implemented,50.34,3297803,8,"['Environmental Organization', 'Local Community', 'Government']",High,"['Energy Efficiency', 'Green Infrastructure']"
Project_24430,Construction,City_D,83.06,988.77,94.61,4.42,7991.42,Not Applicable,92.34,2736412,27,"['Local Community', 'Government', 'Local Community']",High,"['Renewable Energy', 'Green Infrastructure']"
Project_71373,Construction,City_B,68.02,553.13,47.12,5.26,8453.25,Not Applicable,15.84,5925745,10,"['Government', 'Private Sector', 'Local Community']",Medium,"['Green Infrastructure', 'Energy Efficiency']"
Project_24405,Construction,City_B,64.25,884.71,89.92,5.08,8626.06,Planned,24.45,7286382,22,"['Local Community', 'Local Community', 'Government']",Low,"['Renewable Energy', 'Waste Management']"
Project_87532,Construction,City_A,93.16,877.5,53.72,5.52,8911.46,Planned,68.93,2443737,57,"['Government', 'Environmental Organization', 'Environmental Organization']",Medium,"['Energy Efficiency', 'Renewable Energy']"
Project_24281,Construction,City_B,54.37,536.22,73.05,9.04,8445.32,Planned,65.94,9911713,55,"['Local Community', 'Environmental Organization', 'Local Community']",Low,"['Energy Efficiency', 'Renewable Energy']"
Project_54000,Construction,City_E,92.66,667.46,53.01,7.8,7862.03,Not Applicable,75.51,1357826,15,"['Government', 'Private Sector', 'Government']",Low,"['Waste Management', 'Waste Management']"
Project_24160,Construction,City_E,96.26,934.61,65.85,4.07,8108.44,Implemented,99.13,4543392,22,"['Government', 'Government', 'Local Community']",Medium,"['Waste Management', 'Waste Management']"
